K,n,rmse,rmse.mle
4,1024,0.03758228977364315,0.0382292129683753
4,1024,0.03727642908414334,0.03835151879692917
4,1024,0.03730863371739407,0.03835282973389912
4,1024,0.03752370085075769,0.03838219921872557
4,1024,0.03628454352042325,0.03781794982094382
4,512,0.05437886080583295,0.05622984207378021
4,512,0.0557462792379537,0.05766484479755313
4,512,0.05186263180955233,0.05360125794625552
4,512,0.05253166027170835,0.05404581417930346
4,512,0.05468825369729733,0.05618578654936756
4,512,0.05462804930659228,0.05651068293512587
4,512,0.0543004530748105,0.05535573161386661
4,512,0.05224300074818668,0.05402647606010324
4,512,0.05327724652124906,0.05480976195641925
4,512,0.05476025540259263,0.05686125717761974
4,512,0.05293045347386582,0.05534927590814055
4,512,0.05279829377859384,0.0540220877610399
4,512,0.05468921131652451,0.05619606926358427
4,512,0.0525711330306074,0.05436979900955618
4,512,0.05232627019420416,0.05420204909935479
4,512,0.05257332625715405,0.05482086433010576
4,512,0.05296099931839373,0.05391518392885971
4,512,0.05316059305881879,0.05490609882170014
4,512,0.05431818091028891,0.05667951543791838
4,512,0.05319764459116364,0.0550531586452254
4,512,0.0541078004066042,0.05465509202372302
4,512,0.05340363951968095,0.05506458318463365
4,512,0.05217738197706107,0.05339296344899702
4,512,0.05337103004126028,0.05447883220224082
4,512,0.05439305523648207,0.05552286482487479
4,512,0.05395032666883868,0.05565342850173411
4,512,0.05389480457627696,0.05549089163035545
4,512,0.0537503625085694,0.05498454127124834
4,512,0.0528452894497723,0.05368974708067496
4,512,0.0533392783776699,0.05405008870638218
4,512,0.05271966094689954,0.05419644886833879
4,512,0.05253101717857783,0.05401715796140221
4,512,0.05338959809511311,0.05458843487537471
4,512,0.05330218433278264,0.05440419955876692
4,512,0.05446135902031335,0.05581156209549999
4,512,0.052759534284245,0.05379982945067955
4,512,0.05327691327425946,0.05508393698574043
4,512,0.05519695718731969,0.05710407033447109
4,512,0.05288428703139117,0.05437641540743878
4,512,0.05270041079719728,0.05476611492991846
4,512,0.05541856519875684,0.05689204724667597
4,512,0.05405188379430595,0.05512184237430877
4,512,0.05524177024046577,0.05650574945885196
4,512,0.05292467131623981,0.0540243185043805
4,512,0.0538029673252054,0.05481579688055892
4,512,0.05372542050860926,0.05540955978735629
4,512,0.0531838986254702,0.05441840858923904
4,512,0.05330159127370968,0.05430161676054009
4,512,0.05559096655478775,0.057175082735285473
4,512,0.05375681142613261,0.05539149898286809
4,256,0.07732528706536523,0.07782362877099996
4,256,0.07586317189311154,0.07875866538161991
4,256,0.07757395199558795,0.07975448230363409
4,256,0.07699469295963379,0.07895185783335247
4,256,0.0731446728284854,0.07626731334769493
4,256,0.0765626816896755,0.07767158439808455
4,256,0.07473377023341575,0.07606125905147322
4,256,0.07670852396599438,0.07846748018768375
4,256,0.0778688045906491,0.07916746740343694
4,256,0.0775798290339848,0.07916041600237819
4,256,0.07891067536283727,0.08071195894881583
4,256,0.0748324933221008,0.07614060794718136
4,256,0.07261657574595332,0.07537524296371896
4,256,0.07966727382766776,0.08189855361346263
4,256,0.0732249342977023,0.07467602603130606
4,256,0.07530940799634968,0.07829024630636498
4,256,0.07653787807878504,0.0790078751754655
4,256,0.07689178183021739,0.07822030251371877
4,256,0.07348564633279324,0.07685386828752176
4,256,0.07285056650785811,0.07527407104567921
4,256,0.07785860181635869,0.07943968614896997
4,256,0.07414401004261807,0.0753238374478237
4,256,0.07565140362336889,0.07683672581102671
4,256,0.07297140717846531,0.07580752450488001
4,256,0.07773248658067157,0.07897578296755409
4,256,0.07515099702037521,0.07836948942506836
4,256,0.07532609162609258,0.07528692864998725
4,256,0.07794286749077557,0.07829452145388376
4,256,0.07470173738159838,0.0767977431244322
4,256,0.07814966136281985,0.07936134573166222
4,256,0.0770946969582224,0.07873777257586176
4,256,0.07493820373916461,0.07856687702273288
4,256,0.0749739110474961,0.07762844639044117
4,256,0.07999830286138943,0.0809730092595767
4,256,0.07714823253728977,0.0788153499792094
4,256,0.07564499160711953,0.07870961414004579
4,256,0.07793159410863311,0.08077912704882954
4,256,0.0780682797495486,0.08065220591467458
4,256,0.07518470683261838,0.07685587540316632
4,256,0.07406519431484328,0.07555889466963979
4,256,0.07745858187632557,0.0793425257203344
4,256,0.07489625340212405,0.07698865088442844
4,256,0.07512509028379422,0.0787564694538317
4,256,0.07725439881477932,0.07854092203840696
4,256,0.07621383317277777,0.0767961901841709
4,256,0.07573322197879144,0.07760011124571135
4,256,0.07555834573652331,0.0774566974806928
4,256,0.07571876275138958,0.07690503402961363
4,256,0.07674698673686502,0.07773570723436728
4,256,0.07364774505353935,0.07729842910891403
4,128,0.1032864832186478,0.10764494597395344
4,128,0.1107003948693968,0.1125126888875304
4,128,0.10557790779604438,0.10978374842351792
4,128,0.1066889195032753,0.11020723181957524
4,128,0.10026943496635556,0.10351086246686632
4,128,0.11735575871763954,0.11582504228645492
4,128,0.10823725568637008,0.11312426278098105
4,128,0.10020169439303483,0.10102660932195884
4,128,0.11258473608300744,0.11578589709372068
4,128,0.1100902828060765,0.11186797700957556
4,128,0.10789894063880508,0.11323085085634324
4,128,0.10635059957038744,0.10886571892536814
4,128,0.11066406320674135,0.11259315999788076
4,128,0.11468988538392907,0.11623473686011364
4,128,0.11273147320976268,0.11312632944251304
4,128,0.11261651956055488,0.11330205686048989
4,128,0.1093259974051594,0.11447481477023652
4,128,0.11139158113028576,0.11191768694163944
4,128,0.10315386390195108,0.10482513717037656
4,128,0.10635352020211936,0.10950304009159977
4,128,0.1020906463355935,0.10935672829304514
4,128,0.11154643496916392,0.11459238066995156
4,128,0.10713421802248373,0.10916976526458563
4,128,0.10377480602723664,0.10904053286653329
4,128,0.10559735257651132,0.10771031457575111
4,128,0.11460091100941906,0.11576466949277114
4,128,0.1071262261067014,0.1072147351483256
4,128,0.10563546664142634,0.10969974521936622
4,128,0.10859552628066343,0.11065477668575235
4,128,0.1122087628735736,0.1155268516316378
4,128,0.1118885760439411,0.11448087021939116
4,128,0.10957526862771184,0.11387852305108435
4,128,0.11743979982316936,0.11942617388704124
4,128,0.10482473603406452,0.10669732188272468
4,128,0.11192190833471008,0.1144146228134602
4,128,0.1063793853089444,0.10561111649267056
4,128,0.10530375150947335,0.1065328402838468
4,128,0.10519233869465348,0.1071457854980758
4,128,0.11233427451377652,0.11428249224645472
4,128,0.1133255171876088,0.11402797729532504
4,128,0.10637321636007974,0.10862141243667278
4,128,0.10721756783096656,0.10914031142035698
4,128,0.10473050585169652,0.10721772050433256
4,128,0.10837060517693668,0.1080595624997611
4,128,0.10640367128599926,0.10686424120536622
4,128,0.10889821069960906,0.11243283781784975
4,128,0.10862255000391448,0.10765376865306776
4,128,0.10717251700674972,0.11169812143337272
4,128,0.11041533498428543,0.11223363837762314
4,128,0.10665055727957072,0.10860841175277318
3,4096,0.01616455347789235,0.01661714110674934
3,4096,0.0161225214091717,0.01655827960068998
3,4096,0.0161214712729842,0.0165392552381989
3,4096,0.01617674920973559,0.01665090907176083
3,4096,0.01609963853655036,0.0165457339007898
3,4096,0.01609189257181094,0.01655510600579584
3,4096,0.01607222720126055,0.01649718547653881
3,4096,0.01601517084528684,0.01644033702204652
3,4096,0.01614637033886709,0.01657716369383909
3,4096,0.01593068556852623,0.01640918207945139
3,4096,0.01607406165059207,0.01639961873512497
3,4096,0.01618455751980374,0.01654695907591615
3,4096,0.01614208101783253,0.01661764755097744
3,4096,0.01614587690527463,0.01648521260693787
3,4096,0.01599943192440512,0.01645418811042133
3,4096,0.01612375426392673,0.01657773808070894
3,4096,0.01614647204745973,0.0166860774831844
3,4096,0.01608865568106506,0.01654102703230706
3,4096,0.01636397497966076,0.01679142015491657
3,4096,0.01619468147649036,0.01661232141770727
3,4096,0.01606351832749863,0.01657763951550013
3,4096,0.01602058473781319,0.01653433509985978
3,4096,0.01624757141360401,0.01668839732887108
3,4096,0.01621637848882582,0.01665601744073723
3,4096,0.01591150829897184,0.01628291526376206
3,4096,0.01623583398447349,0.01664731942823403
3,4096,0.01626261409110097,0.0166834110509473
3,4096,0.01612822102555074,0.01663108932871396
3,4096,0.01634841903449576,0.01677487940563571
3,4096,0.01599867825680151,0.01641887070931312
3,4096,0.01626686727806218,0.01667609133757222
3,4096,0.01618703462034065,0.01658908581881988
3,4096,0.01602820166937773,0.01654673913048259
3,4096,0.01604574908884318,0.01643892862261498
3,4096,0.01623047268440963,0.01665785017945502
3,4096,0.01620007226908645,0.0166836267363914
3,4096,0.01610900279351389,0.01657403684181723
3,4096,0.01618318950170588,0.01660058482845174
3,4096,0.01621296388746497,0.01655719958896367
3,4096,0.0161584670501959,0.01658946830658297
3,4096,0.01615461571746931,0.01644251937583455
3,4096,0.01605567142832807,0.01644564213244961
3,4096,0.01610956247091221,0.01642672722230824
3,4096,0.01624534512772853,0.01660781163786341
3,4096,0.01596824156360184,0.01643905572120522
3,4096,0.01625123761485955,0.01667818704470699
3,4096,0.01612366333740316,0.01662064452003839
3,4096,0.01616123503483739,0.01649888280209993
3,4096,0.01609507226336311,0.01663050813573098
3,4096,0.01601950681840974,0.01638880336028463
3,2048,0.02277792232493416,0.02329486624185792
3,2048,0.02283248790225223,0.02335684253646331
3,2048,0.02309311356599841,0.02376280121087535
3,2048,0.02268338938127853,0.02319164822363537
3,2048,0.02293175642348434,0.02358317541725803
3,2048,0.02310052701338639,0.02364565137703758
3,2048,0.02242523794135299,0.02304001623097812
3,2048,0.0232373075768684,0.02370060874287689
3,2048,0.02280502383584409,0.02344906521887187
3,2048,0.02301255908453378,0.02384920937349933
3,2048,0.02268010982333046,0.0233000741524273
3,2048,0.02253817453916011,0.02320948700162819
3,2048,0.02301222714814567,0.02368908588829778
