K,n,error,error.ssc,error.mm
4,1024,0.0751953125,0.015625,0.203125
4,1024,0.1044921875,0.0302734375,0.064453125
4,1024,0.1669921875,0.0146484375,0.0751953125
4,1024,0.083984375,0.0126953125,0.1826171875
4,1024,0.0224609375,0.0146484375,0.1953125
4,1024,0.07421875,0.033203125,0.0849609375
4,1024,0.01953125,0.1279296875,0.18359375
4,1024,0.123046875,0.0146484375,0.1787109375
4,1024,0.09765625,0.025390625,0.1640625
4,1024,0.134765625,0.130859375,0.201171875
4,1024,0.0712890625,0.033203125,0.2001953125
4,1024,0.01953125,0.0390625,0.1943359375
4,1024,0.12890625,0.017578125,0.1767578125
4,1024,0.0244140625,0.033203125,0.16796875
4,1024,0.0263671875,0.015625,0.201171875
4,1024,0.0234375,0.013671875,0.1806640625
4,512,0.046875,0.14453125,0.197265625
4,512,0.109375,0.056640625,0.087890625
4,512,0.095703125,0.05078125,0.17578125
4,512,0.052734375,0.037109375,0.0859375
4,512,0.099609375,0.0234375,0.169921875
4,512,0.044921875,0.076171875,0.09765625
4,512,0.10546875,0.041015625,0.208984375
4,512,0.044921875,0.0703125,0.18359375
4,512,0.12890625,0.05078125,0.1875
4,512,0.07421875,0.083984375,0.185546875
4,512,0.1171875,0.033203125,0.162109375
4,512,0.041015625,0.041015625,0.169921875
4,512,0.04296875,0.0390625,0.05859375
4,512,0.033203125,0.03515625,0.193359375
4,512,0.126953125,0.05078125,0.31640625
4,512,0.083984375,0.02734375,0.154296875
4,512,0.048828125,0.0234375,0.083984375
4,512,0.044921875,0.0390625,0.17578125
4,512,0.0703125,0.083984375,0.095703125
4,512,0.08203125,0.03125,0.19921875
4,512,0.080078125,0.0625,0.08203125
4,512,0.068359375,0.01171875,0.08203125
4,512,0.095703125,0.072265625,0.154296875
4,512,0.060546875,0.01953125,0.05859375
4,512,0.017578125,0.013671875,0.19140625
4,512,0.0859375,0.0625,0.083984375
4,512,0.064453125,0.033203125,0.1875
4,512,0.095703125,0.12890625,0.193359375
4,512,0.04296875,0.017578125,0.16796875
4,512,0.080078125,0.02734375,0.197265625
4,512,0.12890625,0.14453125,0.17578125
4,512,0.076171875,0.126953125,0.166015625
4,512,0.05859375,0.029296875,0.177734375
4,512,0.05859375,0.068359375,0.16796875
4,512,0.208984375,0.029296875,0.173828125
4,512,0.1015625,0.0546875,0.08203125
4,512,0.125,0.158203125,0.18359375
4,512,0.20703125,0.140625,0.203125
4,512,0.083984375,0.044921875,0.095703125
4,512,0.11328125,0.056640625,0.087890625
4,512,0.126953125,0.0390625,0.193359375
4,512,0.091796875,0.154296875,0.197265625
4,512,0.03515625,0.025390625,0.171875
4,512,0.123046875,0.048828125,0.171875
4,512,0.087890625,0.044921875,0.18359375
4,512,0.056640625,0.015625,0.16796875
4,512,0.0859375,0.037109375,0.072265625
4,512,0.125,0.037109375,0.0859375
4,512,0.1015625,0.05078125,0.19140625
4,512,0.041015625,0.044921875,0.17578125
4,256,0.078125,0.25390625,0.1015625
4,256,0.11328125,0.12109375,0.1328125
4,256,0.2421875,0.12890625,0.10546875
4,256,0.21875,0.0859375,0.19921875
4,256,0.125,0.03515625,0.078125
4,256,0.125,0.12890625,0.2109375
4,256,0.08984375,0.171875,0.18359375
4,256,0.0625,0.13671875,0.2421875
4,256,0.0859375,0.0859375,0.07421875
4,256,0.12109375,0.109375,0.17578125
4,256,0.11328125,0.10546875,0.1171875
4,256,0.1640625,0.06640625,0.203125
4,256,0.05078125,0.109375,0.17578125
4,256,0.26953125,0.18359375,0.21875
4,256,0.21484375,0.15234375,0.08203125
4,256,0.12890625,0.16015625,0.16015625
4,256,0.08984375,0.1953125,0.2109375
4,256,0.3046875,0.1796875,0.08984375
4,256,0.13671875,0.20703125,0.1640625
4,256,0.19140625,0.09375,0.10546875
4,256,0.1640625,0.0859375,0.10546875
4,256,0.11328125,0.1015625,0.09765625
4,256,0.12109375,0.06640625,0.109375
4,256,0.1484375,0.14453125,0.22265625
4,256,0.14453125,0.15234375,0.1796875
4,256,0.1171875,0.140625,0.125
