K,n,rho,rmse,rmse.mle
3,2048,0.6,0.03346552551650069,0.03218043462291551
3,2048,0.6,0.03207948884324167,0.030979939028540487
3,2048,0.6,0.03302969926591859,0.031838946828344046
3,2048,0.6,0.032517718292899435,0.03136500270663899
3,2048,0.6,0.03235989754010486,0.03101744689331379
3,2048,0.6,0.03303398071748306,0.03186305015860578
3,2048,0.6,0.03273479686678135,0.03153083041229938
3,2048,0.6,0.03287961357923278,0.03184406206273746
3,2048,0.6,0.03249368752008031,0.03109022495120314
3,2048,0.6,0.032716459870577884,0.03139074371468943
3,2048,0.6,0.03281920733848902,0.03139944593771834
3,2048,0.6,0.032554801100954635,0.03148651207974251
3,2048,0.6,0.03317290117911719,0.03184004320617432
3,2048,0.6,0.03312392718995038,0.0317789989744574
3,2048,0.6,0.03287301193240157,0.031479982890547924
3,2048,0.6,0.032904522434353954,0.03178409536888051
3,2048,0.6,0.032797425958906876,0.031363977988694794
3,2048,0.6,0.03270414791667234,0.03143279839329519
3,2048,0.6,0.0326816903784432,0.03154251376823822
3,2048,0.6,0.03396124253416069,0.032638948942950295
3,2048,0.6,0.03267422675826881,0.03165740133071092
3,2048,0.6,0.033046863901785614,0.031651612561530526
3,2048,0.6,0.03239766201214661,0.03131252169582614
3,2048,0.6,0.0333787129690477,0.03210925583778256
3,2048,0.6,0.03302264039549174,0.031690216136539495
3,2048,0.6,0.032370016033976434,0.031427216477403194
3,2048,0.6,0.03266774595268496,0.03179096799496567
3,2048,0.6,0.03254254157440247,0.031500210456243335
3,2048,0.6,0.03208339592030029,0.03100022965210826
3,2048,0.6,0.03321807882559641,0.03210262670483371
3,2048,0.6,0.033243349888839965,0.0317357235768571
3,2048,0.6,0.03283581962021032,0.031874690480085496
3,2048,0.6,0.03247767015171157,0.031237672379498625
3,2048,0.6,0.03246486554775463,0.03131925880219298
3,2048,0.6,0.033063401238714485,0.03216294658679865
3,2048,0.6,0.03271847036700888,0.031424553460845994
3,2048,0.6,0.03301216361658882,0.03187229079218906
3,2048,0.6,0.032772535343160734,0.03156113187812196
3,2048,0.6,0.032740895178749084,0.03138169993824796
3,2048,0.6,0.03272285303757679,0.03161141437344955
3,2048,0.6,0.03300219594629579,0.03138686767296345
3,2048,0.6,0.032949444902293366,0.03186561841523393
3,2048,0.6,0.03306823905633804,0.03165640965116356
3,2048,0.6,0.03317236557673308,0.03169858149014911
3,2048,0.6,0.03261468974781898,0.031449774635828896
3,2048,0.7000000000000001,0.02895033177586662,0.028012981541990122
3,2048,0.7000000000000001,0.029418035557320907,0.02882623727135589
3,2048,0.7000000000000001,0.029012454697498708,0.028209312118256814
